Month,Day,Births,binaryClass
0,1,7701.0,1
0,2,7527.0,0
0,3,8825.0,0
0,4,8859.0,0
0,5,9043.0,0
0,6,9208.0,0
0,7,8084.0,0
0,8,7611.0,1
0,9,9172.0,0
0,10,9089.0,0
0,11,9210.0,0
0,12,9259.0,0
0,13,9138.0,0
0,14,8299.0,0
0,15,7771.0,1
0,16,9458.0,0
0,17,9339.0,0
0,18,9120.0,0
0,19,9226.0,0
0,20,9305.0,0
0,21,7954.0,0
0,22,7560.0,1
0,23,9252.0,0
0,24,9416.0,0
0,25,9090.0,0
0,26,9387.0,0
0,27,8983.0,0
0,28,7946.0,0
0,29,7527.0,1
0,30,9184.0,0
0,31,9152.0,0
4,1,9159.0,0
4,2,9218.0,0
4,3,9167.0,0
4,4,8065.0,0
4,5,7804.0,1
4,6,9225.0,0
4,7,9328.0,0
4,8,9139.0,0
4,9,9247.0,0
4,10,9527.0,0
4,11,8144.0,0
4,12,7950.0,1
4,13,8966.0,0
4,14,9859.0,0
4,15,9285.0,0
4,16,9103.0,0
4,17,9238.0,0
4,18,8167.0,0
4,19,7695.0,1
4,20,9021.0,0
4,21,9252.0,0
4,22,9335.0,0
4,23,9268.0,0
4,24,9552.0,0
4,25,8313.0,0
4,26,7881.0,1
4,27,9262.0,0
4,28,9705.0,0
5,1,9132.0,0
5,2,9304.0,0
5,3,9431.0,0
5,4,8008.0,0
5,5,7791.0,1
5,6,9294.0,0
5,7,9573.0,0
5,8,9212.0,0
5,9,9218.0,0
5,10,9583.0,0
5,11,8144.0,0
5,12,7870.0,1
5,13,9022.0,0
5,14,9525.0,0
5,15,9284.0,0
5,16,9327.0,0
5,17,9480.0,0
5,18,7965.0,0
5,19,7729.0,1
5,20,9135.0,0
5,21,9663.0,0
5,22,9307.0,0
5,23,9159.0,0
5,24,9157.0,0
5,25,7874.0,0
5,26,7589.0,1
5,27,9100.0,0
5,28,9293.0,0
5,29,9195.0,0
5,30,8902.0,0
5,31,9318.0,0
6,1,8069.0,0
6,2,7691.0,1
6,3,9114.0,0
6,4,9439.0,0
6,5,8852.0,0
6,6,8969.0,0
6,7,9077.0,0
6,8,7890.0,0
6,9,7445.0,1
6,10,8870.0,0
6,11,9023.0,0
6,12,8606.0,0
6,13,8724.0,0
6,14,9012.0,0
6,15,7527.0,0
6,16,7193.0,1
6,17,8702.0,0
6,18,9205.0,0
6,19,8720.0,0
6,20,8582.0,0
6,21,8892.0,0
6,22,7787.0,0
6,23,7304.0,1
6,24,9017.0,0
6,25,9077.0,0
6,26,9019.0,0
6,27,8839.0,0
6,28,9047.0,0
6,29,7750.0,0
6,30,7135.0,1
7,1,8900.0,0
7,2,9422.0,0
7,3,9051.0,0
7,4,8672.0,0
7,5,9101.0,0
7,6,7718.0,0
7,7,7388.0,1
7,8,8987.0,0
7,9,9307.0,0
7,10,9273.0,0
7,11,8903.0,0
7,12,8975.0,0
7,13,7762.0,0
7,14,7382.0,1
7,15,9195.0,0
7,16,9200.0,0
7,17,8913.0,0
7,18,9044.0,0
7,19,9000.0,0
7,20,8064.0,0
7,21,7570.0,1
7,22,9089.0,0
7,23,9210.0,0
7,24,9196.0,0
7,25,9180.0,0
7,26,9514.0,0
7,27,8005.0,0
7,28,7781.0,1
7,29,7780.0,0
7,30,9630.0,0
7,31,9600.0,0
8,1,9435.0,0
8,2,9303.0,0
8,3,7971.0,0
8,4,7399.0,1
8,5,9127.0,0
8,6,9606.0,0
8,7,9328.0,0
8,8,9075.0,0
8,9,9362.0,0
8,10,8040.0,0
8,11,7581.0,1
8,12,9201.0,0
8,13,9264.0,0
8,14,9216.0,0
8,15,9175.0,0
8,16,9350.0,0
8,17,8233.0,0
8,18,7777.0,1
8,19,9543.0,0
8,20,9672.0,0
8,21,9266.0,0
8,22,9405.0,0
8,23,9598.0,0
8,24,8122.0,0
8,25,8091.0,1
8,26,9348.0,0
8,27,9857.0,0
8,28,9701.0,0
8,29,9630.0,0
8,30,10080.0,0
9,1,8209.0,0
9,2,7976.0,1
9,3,9284.0,0
9,4,8433.0,0
9,5,9675.0,0
9,6,10184.0,0
9,7,10241.0,0
9,8,8773.0,0
9,9,8102.0,1
9,10,9877.0,0
9,11,9852.0,0
9,12,9705.0,0
9,13,9984.0,0
9,14,10438.0,0
9,15,8859.0,0
9,16,8416.0,1
9,17,10026.0,0
9,18,10357.0,0
9,19,10015.0,0
9,20,10386.0,0
9,21,10332.0,0
9,22,9062.0,0
9,23,8563.0,1
9,24,9960.0,0
9,25,10349.0,0
9,26,10091.0,0
9,27,10192.0,0
9,28,10307.0,0
9,29,8677.0,0
9,30,8486.0,1
9,31,9890.0,0
10,1,10145.0,0
10,2,9824.0,0
10,3,10128.0,0
10,4,10051.0,0
10,5,8738.0,0
10,6,8442.0,1
10,7,10206.0,0
10,8,10442.0,0
10,9,10142.0,0
10,10,10284.0,0
10,11,10162.0,0
10,12,8951.0,0
10,13,8532.0,1
10,14,10127.0,0
10,15,10502.0,0
10,16,10053.0,0
10,17,10377.0,0
10,18,10355.0,0
10,19,8904.0,0
10,20,8477.0,1
10,21,9967.0,0
10,22,10229.0,0
10,23,9900.0,0
10,24,10152.0,0
10,25,10173.0,0
10,26,8782.0,0
10,27,8453.0,1
10,28,9998.0,0
10,29,10387.0,0
10,30,10063.0,0
10,31,9849.0,0
0,1,10114.0,0
0,2,8580.0,0
0,3,8355.0,1
0,4,8481.0,0
0,5,10023.0,0
0,6,10703.0,0
0,7,10292.0,0
0,8,10371.0,0
0,9,9023.0,0
0,10,8630.0,1
0,11,10154.0,0
0,12,10425.0,0
0,13,10149.0,0
0,14,10265.0,0
0,15,10265.0,0
0,16,9170.0,0
0,17,8711.0,1
0,18,10304.0,0
0,19,10711.0,0
0,20,10488.0,0
0,21,10499.0,0
0,22,10349.0,0
0,23,8735.0,0
0,24,8647.0,1
0,25,10414.0,0
0,26,10498.0,0
0,27,10344.0,0
0,28,10175.0,0
0,29,10368.0,0
0,30,8648.0,0
1,1,8686.0,1
1,2,9927.0,0
1,3,10378.0,0
1,4,9928.0,0
1,5,9949.0,0
1,6,10052.0,0
1,7,8605.0,0
1,8,8377.0,1
1,9,9765.0,0
1,10,10351.0,0
1,11,9873.0,0
1,12,9824.0,0
1,13,9755.0,0
1,14,8554.0,0
1,15,7873.0,1
1,16,9531.0,0
1,17,9938.0,0
1,18,9388.0,0
1,19,9502.0,0
1,20,9625.0,0
1,21,8411.0,0
1,22,7936.0,1
1,23,9425.0,0
1,24,9576.0,0
1,25,9328.0,0
1,26,9501.0,0
1,27,9537.0,0
1,28,8415.0,0
1,29,8155.0,1
1,30,9457.0,0
1,31,9333.0,0
2,1,9321.0,0
2,2,9245.0,0
2,3,9774.0,0
2,4,8246.0,0
2,5,8011.0,1
2,6,9507.0,0
2,7,9769.0,0
2,8,9501.0,0
2,9,9609.0,0
2,10,9652.0,0
2,11,8352.0,0
2,12,7967.0,1
2,13,9606.0,0
2,14,10014.0,0
2,15,9536.0,0
2,16,9568.0,0
2,17,9835.0,0
2,18,8432.0,0
2,19,7868.0,1
2,20,9592.0,0
2,21,9950.0,0
2,22,9548.0,0
2,23,7915.0,0
2,24,9037.0,0
2,25,8275.0,0
2,26,8068.0,1
2,27,9825.0,0
2,28,9814.0,0
2,29,9438.0,0
2,30,9396.0,0
3,1,9592.0,0
3,2,8528.0,0
3,3,8196.0,1
3,4,9767.0,0
3,5,9881.0,0
3,6,9402.0,0
3,7,9480.0,0
3,8,9398.0,0
3,9,8335.0,0
3,10,8093.0,1
3,11,9686.0,0
3,12,10063.0,0
3,13,9509.0,0
3,14,9524.0,0
3,15,9951.0,0
3,16,8507.0,0
3,17,8172.0,1
3,18,10196.0,0
3,19,10605.0,0
3,20,9998.0,0
3,21,9398.0,0
3,22,9008.0,0
3,23,7939.0,0
3,24,7964.0,1
3,25,7846.0,0
3,26,8902.0,0
3,27,9907.0,0
3,28,10177.0,0
3,29,10401.0,0
3,30,8474.0,0
3,31,8028.0,1
